id,name,city,state,kind,year_founded,annual_visits,has_makerspace
1,Eastport Public Library,Eastport,ME,central,1904,48000,true
2,Eastport Publ. Library,Eastport,ME,branch,1904,51200,false
3,North Ashfield Library,Ashfield,MA,branch,1921,22400,false
4,North Ashfield Memorial Library,Ashfield,MA,branch,1921,22900,false
5,Ashfield Memorial Heights Library,Ashfield,MA,branch,1967,9800,true
6,Oakvale Central Library,Oakvale,OR,central,1898,310000,true
7,Oakvale Riverside Branch,Oakvale,OR,branch,1955,41000,false
8,Oakvale Technical Research Library,Oakvale,OR,research,1972,6200,false
9,Cold Harbor Bookmobile,Cold Harbor,AK,bookmobile,2025,0,false
10,Grand Meridian Central Library,Meridian,TX,central,1876,1480000,true
11,Westmill Community Library,Westmill,MI,branch,1962,72696,true
12,Tamworth Public Library,Tamworth,OH,branch,1987,84229,true
13,Underhill Library,Underhill,MN,central,1912,106297,false
14,Yarrow Creek Memorial Library,Yarrow Creek,OH,central,1997,418988,false
15,Ambrose District Library,Ambrose,CA,branch,2007,27611,false
16,Glenmoor Memorial Library,Glenmoor,NM,research,1942,27200,false
17,Dunmore Memorial Library,Dunmore,AK,branch,1899,67043,false
18,Eastwick District Library,Eastwick,OH,central,1917,410298,false
19,Wexford Community Library,Wexford,WA,branch,1895,18666,true
20,Elmridge District Library,Elmridge,TX,branch,1919,50452,false
21,Netherfield Memorial Library,Netherfield,FL,branch,1909,9937,false
22,Oakhollow Free Library,Oakhollow,AK,central,1921,539129,false
23,Glenmoor District Library,Glenmoor,ME,branch,1987,17748,false
24,Hartsdale Memorial Library,Hartsdale,TX,branch,1973,55185,false
25,Quarry Hill Community Library,Quarry Hill,IL,branch,1909,70203,false
26,Inglemere Public Library,Inglemere,VT,bookmobile,1872,7130,false
27,Glenmoor Community Library,Glenmoor,NY,research,1964,23873,false
28,Netherfield District Library,Netherfield,OR,branch,1927,80297,false
29,Hartsdale District Library,Hartsdale,NM,branch,2012,19396,false
30,Fernhill District Library,Fernhill,MI,branch,1894,53415,true
31,Pinehurst Free Library,Pinehurst,PA,branch,1930,64073,true
32,Hartsdale Free Library,Hartsdale,NM,branch,1872,37830,false
33,Lakemont Library,Lakemont,WI,central,1910,572713,false
34,Umberton Public Library,Umberton,AZ,branch,1862,82132,false
35,Vinewood Memorial Library,Vinewood,MI,central,1889,138445,true
36,Elmridge Memorial Library,Elmridge,CO,branch,1942,72698,true
37,Ironwood District Library,Ironwood,MN,branch,2012,47222,true
38,Inglemere Library,Inglemere,MN,branch,1912,73549,false
39,Tamworth Free Library,Tamworth,AZ,central,1930,541816,false
40,Kingsford Memorial Library,Kingsford,AZ,branch,1933,12171,false
41,Westmill Public Library,Westmill,CA,central,2006,462592,false
42,Ashgrove Memorial Library,Ashgrove,NC,bookmobile,1970,815,false
43,Wexford Free Library,Wexford,GA,research,1923,8304,true
44,Cloverton Memorial Library,Cloverton,OH,branch,1973,61359,true
45,Darnley Public Library,Darnley,CO,branch,1913,43472,true
46,Holloway Public Library,Holloway,GA,branch,1891,39394,false
47,Marbury Memorial Library,Marbury,ME,branch,1911,55879,false
48,Kestrel Bay Library,Kestrel Bay,NH,branch,1940,40117,false
49,Redstone Memorial Library,Redstone,NM,central,1862,322245,false
50,Orchard Park District Library,Orchard Park,PA,central,1938,147176,false
51,Northgate Free Library,Northgate,NH,central,1997,444889,false
52,Belfry Library,Belfry,MI,central,1907,242544,false
53,Stonebridge Community Library,Stonebridge,OH,branch,1979,80564,false
54,Saltmarsh Public Library,Saltmarsh,OR,research,1879,22307,false
55,Kingsford Free Library,Kingsford,ME,branch,1962,38516,false
56,Vinewood Public Library,Vinewood,OR,branch,1994,33221,false
57,Elmridge Library,Elmridge,TX,research,1880,27047,false
58,Ashgrove Public Library,Ashgrove,NH,bookmobile,1857,7515,true
59,Netherfield Library,Netherfield,OR,branch,2011,32674,true
60,Cloverton Library,Cloverton,ME,branch,1862,20099,false
61,Inglemere Memorial Library,Inglemere,TX,branch,1899,58744,false
62,Wexford Library,Wexford,CO,branch,1930,43074,true
63,Ravenna Free Library,Ravenna,AK,central,1970,308904,false
64,Wexford District Library,Wexford,NM,branch,1924,89953,false
65,Westmill Memorial Library,Westmill,GA,central,1918,535518,false
66,Ravenna Library,Ravenna,GA,branch,1963,21306,false
67,Bramblewood Free Library,Bramblewood,CO,branch,1873,53710,true
68,Cloverton Public Library,Cloverton,WA,branch,1899,25910,false
69,Cloverton District Library,Cloverton,NH,central,1930,160576,false
70,Alderton District Library,Alderton,NH,branch,2000,30299,true
71,Cranemere Memorial Library,Cranemere,NM,central,1915,173319,true
72,Underhill Community Library,Underhill,NC,branch,1898,68807,false
73,Glenmoor Public Library,Glenmoor,CO,branch,1866,39505,false
74,Marbury Library,Marbury,WI,research,1981,23101,false
75,Saltmarsh Free Library,Saltmarsh,OR,branch,1942,88503,false
76,Netherfield Community Library,Netherfield,TX,branch,1964,84677,false
77,Brightwater Public Library,Brightwater,NH,branch,1982,32011,true
78,Inglemere District Library,Inglemere,CO,branch,1984,55650,true
79,Fairhaven Public Library,Fairhaven,CO,branch,1952,26783,true
80,Pinehurst District Library,Pinehurst,MA,branch,1937,48019,false
81,Darnley Community Library,Darnley,PA,branch,2012,9091,true
82,Tamworth Community Library,Tamworth,VT,branch,1861,63548,true
83,Alderton Library,Alderton,MA,research,2014,18010,false
84,Mosswood Community Library,Mosswood,NM,central,1896,419636,false
85,Ravenna Public Library,Ravenna,MN,research,1999,25920,false
86,Dunmore District Library,Dunmore,OH,branch,1879,56033,false
87,Bramblewood District Library,Bramblewood,OR,branch,1956,47745,false
88,Linden Grove Memorial Library,Linden Grove,VT,branch,1965,31674,false
89,Marbury Free Library,Marbury,NY,branch,1940,19621,false
90,Granville Community Library,Granville,NC,bookmobile,1985,1742,true
91,Yarrow Creek Public Library,Yarrow Creek,ME,branch,1862,47481,false
